c cmd: /host-parser-bin/kat_xcsp_b85de3f1_dirty_memguard64_directexpr_linkcost_20260521 /bench/competition/2022-2025/COP22to25/HCPizza-20-20-2-8-00_c23.xml.lzma --encoder order-ge --cop-objective-cut direct-expr --order-ge-table mdd-tl --order-ge-eq-ne direct-order --order-ge-direct-eq-ne-max-arity 2 --order-ge-shorten-link-cost --no-root-lp-bound --progress --memory-guard-gib 64 --memory-guard-fallback extprop
c 00h00m00s | solve:start
c 00h00m00s | input: constraints=4036
c 00h00m00s | stage:propagate:start
c 00h00m00s | stage:propagate:done ms=19 pruned=0 changed_domains=0 entailed_tables=0
c 00h00m00s | memory:rss checkpoint=after_propagate bytes=23969792
c 00h00m00s | stage:normalize:start
c 00h00m00s | stage:normalize:done ms=0 high_constraints=4036
c 00h00m00s | stage:lower:start
c 00h00m01s | stage:lower:done ms=1743 lowered=4036 unsupported=0
c 00h00m01s | memory:rss checkpoint=after_lower bytes=24567808
c 00h00m01s | stage:post_lower:start
c 00h00m02s | stage:post_lower:done ms=514 rounds=0 tightened=0 removed_cls=0 removed_lits=0 unsat=false precise_hits=0 precise_rounds=1 pivot_recomputes=0 pivot_exact_attempts=0 pivot_general_attempts=0 pivot_general_rest_missing=0 pivot_general_bound_missing=0 pivot_general_no_change=0 pivot_general_tightened=0 setup_ms=462 loop_ms=1 pivot_ms=0 pivot_version_ms=0 pivot_exact_ms=0 pivot_general_ms=0 pivot_general_prepare_ms=0 pivot_general_rest_ms=0 pivot_general_derive_ms=0 apply_ms=0 sat_ms=0 precise_ms=44
c 00h00m02s | memory:rss checkpoint=after_post_lower bytes=271855616
c 00h00m02s | stage:lowered-shape int_vars=9636 bool_vars=0 linear_atoms=401 table_atoms=3635 table_tuples=7270 table_scope=7270 alldiff_atoms=0 circuit_atoms=0 product_atoms=0 logical_clauses=4036
c 00h00m02s | stage:root-lp:skip reason=disabled_by_option ms=0
c 00h00m02s | memory:rss checkpoint=before_preencode bytes=271962112
c 00h00m02s | stage:preencode(order-ge):start
c 00h00m02s | stage:preencode(order-ge):done ms=167 int_vars=25368
c 00h00m02s | memory:rss checkpoint=after_preencode bytes=272130048
c 00h00m02s | memory:guard limit_bytes=68719476736 rss_bytes=272130048 reserve_bytes=10737418240 available_bytes=57709928448 fallback=extprop
c 00h00m29s | stage:encode(order-ge-early-extprop-probe):done ms=26668 estimated_total_clauses=365828575
c 00h00m29s | memory:rss checkpoint=before_encode bytes=272400384
c 00h00m29s | stage:encode(order-ge):start
c 00h00m34s | memory:rss checkpoint=encode_clause_sample stage=order-ge clauses=1000000 bytes=272580608 interval_clauses=1000000
c 00h00m35s | memory:rss checkpoint=encode_clause_sample stage=order-ge clauses=2000000 bytes=370917376 interval_clauses=1000000
c 00h00m35s | memory:rss checkpoint=encode_clause_sample stage=order-ge clauses=3000000 bytes=469561344 interval_clauses=1000000
c 00h00m35s | memory:rss checkpoint=encode_clause_sample stage=order-ge clauses=4000000 bytes=569036800 interval_clauses=1000000
c 00h00m35s | memory:rss checkpoint=encode_clause_sample stage=order-ge clauses=5000000 bytes=661184512 interval_clauses=1000000
c 00h00m36s | memory:rss checkpoint=encode_clause_sample stage=order-ge clauses=6000000 bytes=760737792 interval_clauses=1000000
c 00h00m36s | memory:rss checkpoint=encode_clause_sample stage=order-ge clauses=7000000 bytes=859402240 interval_clauses=1000000
c 00h00m36s | memory:rss checkpoint=encode_clause_sample stage=order-ge clauses=8000000 bytes=956444672 interval_clauses=1000000
c 00h00m37s | memory:rss checkpoint=encode_clause_sample stage=order-ge clauses=9000000 bytes=1046474752 interval_clauses=1000000
c 00h00m37s | memory:rss checkpoint=encode_clause_sample stage=order-ge clauses=10000000 bytes=1140342784 interval_clauses=1000000
c 00h00m37s | memory:rss checkpoint=encode_clause_sample stage=order-ge clauses=11000000 bytes=1232748544 interval_clauses=1000000
c 00h00m37s | memory:rss checkpoint=encode_clause_sample stage=order-ge clauses=12000000 bytes=1326817280 interval_clauses=1000000
c 00h00m38s | memory:rss checkpoint=encode_clause_sample stage=order-ge clauses=13000000 bytes=1417371648 interval_clauses=1000000
c 00h00m38s | memory:rss checkpoint=encode_clause_sample stage=order-ge clauses=14000000 bytes=1504800768 interval_clauses=1000000
c 00h00m38s | memory:rss checkpoint=encode_clause_sample stage=order-ge clauses=15000000 bytes=1590087680 interval_clauses=1000000
c 00h00m39s | memory:rss checkpoint=encode_clause_sample stage=order-ge clauses=16000000 bytes=1685770240 interval_clauses=1000000
c 00h00m39s | memory:rss checkpoint=encode_clause_sample stage=order-ge clauses=17000000 bytes=1785769984 interval_clauses=1000000
c 00h00m39s | memory:rss checkpoint=encode_clause_sample stage=order-ge clauses=18000000 bytes=1886326784 interval_clauses=1000000
c 00h00m40s | memory:rss checkpoint=encode_clause_sample stage=order-ge clauses=19000000 bytes=1975799808 interval_clauses=1000000
c 00h00m40s | memory:rss checkpoint=encode_clause_sample stage=order-ge clauses=20000000 bytes=2076938240 interval_clauses=1000000
c 00h00m40s | memory:rss checkpoint=encode_clause_sample stage=order-ge clauses=21000000 bytes=2173239296 interval_clauses=1000000
c 00h00m40s | memory:rss checkpoint=encode_clause_sample stage=order-ge clauses=22000000 bytes=2272714752 interval_clauses=1000000
c 00h00m41s | memory:rss checkpoint=encode_clause_sample stage=order-ge clauses=23000000 bytes=2360836096 interval_clauses=1000000
c 00h00m41s | memory:rss checkpoint=encode_clause_sample stage=order-ge clauses=24000000 bytes=2457878528 interval_clauses=1000000
c 00h00m41s | memory:rss checkpoint=encode_clause_sample stage=order-ge clauses=25000000 bytes=2548432896 interval_clauses=1000000
c 00h00m42s | memory:rss checkpoint=encode_clause_sample stage=order-ge clauses=26000000 bytes=2651222016 interval_clauses=1000000
c 00h00m42s | memory:rss checkpoint=encode_clause_sample stage=order-ge clauses=27000000 bytes=2731773952 interval_clauses=1000000
c 00h00m42s | memory:rss checkpoint=encode_clause_sample stage=order-ge clauses=28000000 bytes=2827464704 interval_clauses=1000000
c 00h00m43s | memory:rss checkpoint=encode_clause_sample stage=order-ge clauses=29000000 bytes=2914775040 interval_clauses=1000000
c 00h00m43s | memory:rss checkpoint=encode_clause_sample stage=order-ge clauses=30000000 bytes=3002355712 interval_clauses=1000000
c 00h00m43s | memory:rss checkpoint=encode_clause_sample stage=order-ge clauses=31000000 bytes=3103125504 interval_clauses=1000000
c 00h00m43s | memory:rss checkpoint=encode_clause_sample stage=order-ge clauses=32000000 bytes=3189821440 interval_clauses=1000000
c 00h00m44s | memory:rss checkpoint=encode_clause_sample stage=order-ge clauses=33000000 bytes=3288805376 interval_clauses=1000000
c 00h00m44s | memory:rss checkpoint=encode_clause_sample stage=order-ge clauses=34000000 bytes=3368501248 interval_clauses=1000000
c 00h00m44s | memory:rss checkpoint=encode_clause_sample stage=order-ge clauses=35000000 bytes=3481223168 interval_clauses=1000000
c 00h00m45s | memory:rss checkpoint=encode_clause_sample stage=order-ge clauses=36000000 bytes=3565559808 interval_clauses=1000000
c 00h00m45s | memory:rss checkpoint=encode_clause_sample stage=order-ge clauses=37000000 bytes=3648614400 interval_clauses=1000000
c 00h00m45s | memory:rss checkpoint=encode_clause_sample stage=order-ge clauses=38000000 bytes=3731058688 interval_clauses=1000000
c 00h00m46s | memory:rss checkpoint=encode_clause_sample stage=order-ge clauses=39000000 bytes=3849785344 interval_clauses=1000000
c 00h00m46s | memory:rss checkpoint=encode_clause_sample stage=order-ge clauses=40000000 bytes=3936014336 interval_clauses=1000000
c 00h00m46s | memory:rss checkpoint=encode_clause_sample stage=order-ge clauses=41000000 bytes=4023054336 interval_clauses=1000000
c 00h00m46s | memory:rss checkpoint=encode_clause_sample stage=order-ge clauses=42000000 bytes=4108177408 interval_clauses=1000000
c 00h00m47s | memory:rss checkpoint=encode_clause_sample stage=order-ge clauses=43000000 bytes=4201263104 interval_clauses=1000000
c 00h00m47s | memory:rss checkpoint=encode_clause_sample stage=order-ge clauses=44000000 bytes=4289720320 interval_clauses=1000000
c 00h00m47s | memory:rss checkpoint=encode_clause_sample stage=order-ge clauses=45000000 bytes=4378718208 interval_clauses=1000000
c 00h00m48s | memory:rss checkpoint=encode_clause_sample stage=order-ge clauses=46000000 bytes=4467019776 interval_clauses=1000000
c 00h00m48s | memory:rss checkpoint=encode_clause_sample stage=order-ge clauses=47000000 bytes=4562051072 interval_clauses=1000000
c 00h00m48s | memory:rss checkpoint=encode_clause_sample stage=order-ge clauses=48000000 bytes=4647464960 interval_clauses=1000000
c 00h00m48s | memory:rss checkpoint=encode_clause_sample stage=order-ge clauses=49000000 bytes=4736618496 interval_clauses=1000000
c 00h00m49s | memory:rss checkpoint=encode_clause_sample stage=order-ge clauses=50000000 bytes=4820889600 interval_clauses=1000000
c 00h00m49s | memory:rss checkpoint=encode_clause_sample stage=order-ge clauses=51000000 bytes=4910669824 interval_clauses=1000000
c 00h00m49s | memory:rss checkpoint=encode_clause_sample stage=order-ge clauses=52000000 bytes=4996640768 interval_clauses=1000000
c 00h00m50s | memory:rss checkpoint=encode_clause_sample stage=order-ge clauses=53000000 bytes=5082525696 interval_clauses=1000000
