c cmd: /host-parser-bin/kat_xcsp_40f9aa91ad76_csp800_20260526 /bench/competition/2022-2025/CSP22to25/LotteryDesign-32-6-6-2-3000_c25.xml.lzma --eq-ne-encoding direct --direct-eq-ne-max-arity 2 --table-encoding mdd-tl --progress --encoder log-scop --log-scop-linear-pb-backend auto --log-scop-bdd-decomposition auto --log-scop-aggregate-weighted-lits
c version: kat-cli=0.1.0 git=40f9aa91ad76-clean
c run_start_local: 2026-05-27 02:55:39 +0900
c 00h00m00s | solve:start
c 00h00m00s | input: constraints=111002
c 00h00m00s | stage:propagate:start
c 00h00m00s | stage:propagate:done ms=349 pruned=90030 changed_domains=18006 entailed_tables=0
c 00h00m00s | memory:rss checkpoint=after_propagate bytes=158482432
c 00h00m00s | stage:normalize:start
c 00h00m00s | stage:normalize:done ms=0 high_constraints=111002
c 00h00m00s | stage:lower:start
c 00h01m42s | stage:lower:progress percent=10 processed=11101 total=111002 lowered=11101 unsupported=0 ms=102050
c 00h01m42s | stage:lower:progress percent=20 processed=22201 total=111002 lowered=22201 unsupported=0 ms=102096
c 00h01m42s | stage:lower:progress percent=30 processed=33301 total=111002 lowered=33301 unsupported=0 ms=102142
c 00h01m42s | stage:lower:progress percent=40 processed=44401 total=111002 lowered=44401 unsupported=0 ms=102188
c 00h01m42s | stage:lower:progress percent=50 processed=55501 total=111002 lowered=55501 unsupported=0 ms=102235
c 00h01m42s | stage:lower:progress percent=60 processed=66602 total=111002 lowered=66602 unsupported=0 ms=102281
c 00h01m42s | stage:lower:progress percent=70 processed=77702 total=111002 lowered=77702 unsupported=0 ms=102327
c 00h01m42s | stage:lower:progress percent=80 processed=88802 total=111002 lowered=88802 unsupported=0 ms=102373
c 00h01m42s | stage:lower:progress percent=90 processed=99902 total=111002 lowered=99902 unsupported=0 ms=102419
c 00h01m42s | stage:lower:progress percent=100 processed=111002 total=111002 lowered=111002 unsupported=0 ms=102466
c 00h01m53s | stage:lower:done ms=113367 lowered=111002 unsupported=0
c 00h01m53s | memory:rss checkpoint=after_lower bytes=9683705856
c 00h01m53s | stage:post_lower:start
c 00h02m06s | stage:post_lower:done ms=12600 rounds=0 tightened=0 removed_cls=0 removed_lits=0 unsat=false precise_hits=0 precise_rounds=0 pivot_recomputes=0 pivot_exact_attempts=0 pivot_general_attempts=0 pivot_general_rest_missing=0 pivot_general_bound_missing=0 pivot_general_no_change=0 pivot_general_tightened=0 setup_ms=8444 loop_ms=3789 pivot_ms=0 pivot_version_ms=0 pivot_exact_ms=0 pivot_general_ms=0 pivot_general_prepare_ms=0 pivot_general_rest_ms=0 pivot_general_derive_ms=0 apply_ms=312 sat_ms=0 precise_ms=0
c 00h02m06s | memory:rss checkpoint=after_post_lower bytes=10310275072
c 00h02m10s | memory:rss checkpoint=before_preencode bytes=10310393856
c 00h02m10s | stage:preencode(log-scop):start
c 00h02m10s | stage:preencode(log-scop):done ms=193 int_vars=21006
c 00h02m10s | memory:rss checkpoint=after_preencode bytes=10562658304
c 00h02m10s | memory:rss checkpoint=before_encode bytes=10562703360
c 00h02m10s | stage:encode(log-scop):start
c 00h02m21s | memory:rss checkpoint=encode_clause_sample stage=log-scop clauses=1000000 bytes=19375345664 interval_clauses=1000000
c 00h02m22s | memory:rss checkpoint=encode_clause_sample stage=log-scop clauses=2000000 bytes=19378966528 interval_clauses=1000000
c 00h02m22s | memory:rss checkpoint=encode_clause_sample stage=log-scop clauses=3000000 bytes=19383734272 interval_clauses=1000000
c 00h02m23s | memory:rss checkpoint=encode_clause_sample stage=log-scop clauses=4000000 bytes=19384115200 interval_clauses=1000000
c 00h02m24s | memory:rss checkpoint=encode_clause_sample stage=log-scop clauses=5000000 bytes=19425718272 interval_clauses=1000000
c 00h02m24s | memory:rss checkpoint=encode_clause_sample stage=log-scop clauses=6000000 bytes=19434373120 interval_clauses=1000000
c 00h02m25s | memory:rss checkpoint=encode_clause_sample stage=log-scop clauses=7000000 bytes=19444244480 interval_clauses=1000000
c 00h02m26s | memory:rss checkpoint=encode_clause_sample stage=log-scop clauses=8000000 bytes=19468800000 interval_clauses=1000000
c 00h02m26s | memory:rss checkpoint=encode_clause_sample stage=log-scop clauses=9000000 bytes=19592265728 interval_clauses=1000000
c 00h02m27s | memory:rss checkpoint=encode_clause_sample stage=log-scop clauses=10000000 bytes=19666280448 interval_clauses=1000000
c 00h02m28s | memory:rss checkpoint=encode_clause_sample stage=log-scop clauses=11000000 bytes=19693277184 interval_clauses=1000000
c 00h02m29s | memory:rss checkpoint=encode_clause_sample stage=log-scop clauses=12000000 bytes=19721084928 interval_clauses=1000000
c 00h02m29s | memory:rss checkpoint=encode_clause_sample stage=log-scop clauses=13000000 bytes=19748073472 interval_clauses=1000000
c 00h02m30s | memory:rss checkpoint=encode_clause_sample stage=log-scop clauses=14000000 bytes=19774812160 interval_clauses=1000000
c 00h02m31s | memory:rss checkpoint=encode_clause_sample stage=log-scop clauses=15000000 bytes=19799474176 interval_clauses=1000000
c 00h02m32s | memory:rss checkpoint=encode_clause_sample stage=log-scop clauses=16000000 bytes=19839938560 interval_clauses=1000000
c 00h02m32s | memory:rss checkpoint=encode_clause_sample stage=log-scop clauses=17000000 bytes=20011933696 interval_clauses=1000000
c 00h02m33s | memory:rss checkpoint=encode_clause_sample stage=log-scop clauses=18000000 bytes=20143591424 interval_clauses=1000000
c 00h02m34s | memory:rss checkpoint=encode_clause_sample stage=log-scop clauses=19000000 bytes=20166008832 interval_clauses=1000000
c 00h02m35s | memory:rss checkpoint=encode_clause_sample stage=log-scop clauses=20000000 bytes=20194103296 interval_clauses=1000000
c 00h02m35s | memory:rss checkpoint=encode_clause_sample stage=log-scop clauses=21000000 bytes=20218761216 interval_clauses=1000000
