c cmd: /host-parser-bin/kat_xcsp_40f9aa91ad76_csp800_20260526 /bench/competition/2022-2025/CSP22to25/WordSquare-hak-11-ogd2008_c24.xml.lzma --eq-ne-encoding direct --direct-eq-ne-max-arity 2 --table-encoding mdd-tl --progress --encoder log-scop --log-scop-linear-pb-backend auto --log-scop-bdd-decomposition auto --log-scop-aggregate-weighted-lits
c version: kat-cli=0.1.0 git=40f9aa91ad76-clean
c run_start_local: 2026-05-27 05:39:16 +0900
c 00h00m00s | solve:start
c 00h00m00s | input: constraints=243
c 00h00m00s | stage:propagate:start
c 00h00m01s | stage:propagate:done ms=1109 pruned=0 changed_domains=0 entailed_tables=0
c 00h00m01s | memory:rss checkpoint=after_propagate bytes=205713408
c 00h00m01s | stage:normalize:start
c 00h00m01s | stage:normalize:done ms=0 high_constraints=243
c 00h00m01s | stage:lower:start
c 00h00m09s | stage:lower:progress percent=10 processed=25 total=243 lowered=25 unsupported=0 ms=8388
c 00h00m17s | stage:lower:progress percent=20 processed=49 total=243 lowered=49 unsupported=0 ms=16475
c 00h00m25s | stage:lower:progress percent=30 processed=73 total=243 lowered=73 unsupported=0 ms=24513
c 00h00m34s | stage:lower:progress percent=40 processed=98 total=243 lowered=98 unsupported=0 ms=32930
c 00h00m41s | stage:lower:progress percent=50 processed=122 total=243 lowered=122 unsupported=0 ms=40838
c 00h00m50s | stage:lower:progress percent=60 processed=146 total=243 lowered=146 unsupported=0 ms=48902
c 00h00m58s | stage:lower:progress percent=70 processed=171 total=243 lowered=171 unsupported=0 ms=57334
c 00h01m06s | stage:lower:progress percent=80 processed=195 total=243 lowered=195 unsupported=0 ms=65465
c 00h01m14s | stage:lower:progress percent=90 processed=219 total=243 lowered=219 unsupported=0 ms=73623
c 00h01m22s | stage:lower:progress percent=100 processed=243 total=243 lowered=243 unsupported=0 ms=81775
c 00h01m22s | stage:lower:done ms=81840 lowered=243 unsupported=0
c 00h01m22s | memory:rss checkpoint=after_lower bytes=2690818048
c 00h01m22s | stage:post_lower:start
c 00h01m26s | stage:post_lower:done ms=3986 rounds=0 tightened=0 removed_cls=0 removed_lits=0 unsat=false precise_hits=0 precise_rounds=0 pivot_recomputes=0 pivot_exact_attempts=0 pivot_general_attempts=0 pivot_general_rest_missing=0 pivot_general_bound_missing=0 pivot_general_no_change=0 pivot_general_tightened=0 setup_ms=1312 loop_ms=2421 pivot_ms=0 pivot_version_ms=0 pivot_exact_ms=0 pivot_general_ms=0 pivot_general_prepare_ms=0 pivot_general_rest_ms=0 pivot_general_derive_ms=0 apply_ms=250 sat_ms=0 precise_ms=0
c 00h01m26s | memory:rss checkpoint=after_post_lower bytes=3199807488
c 00h01m27s | memory:rss checkpoint=before_preencode bytes=3203969024
c 00h01m27s | stage:preencode(log-scop):start
c 00h01m27s | stage:preencode(log-scop):done ms=72 int_vars=132
c 00h01m27s | memory:rss checkpoint=after_preencode bytes=3035668480
c 00h01m27s | memory:rss checkpoint=before_encode bytes=3035668480
c 00h01m27s | stage:encode(log-scop):start
c 00h01m30s | memory:rss checkpoint=encode_clause_sample stage=log-scop clauses=1000000 bytes=3121713152 interval_clauses=1000000
c 00h01m31s | memory:rss checkpoint=encode_clause_sample stage=log-scop clauses=2000000 bytes=3274944512 interval_clauses=1000000
c 00h01m31s | memory:rss checkpoint=encode_clause_sample stage=log-scop clauses=3000000 bytes=3550482432 interval_clauses=1000000
c 00h01m32s | memory:rss checkpoint=encode_clause_sample stage=log-scop clauses=4000000 bytes=3651588096 interval_clauses=1000000
c 00h01m33s | memory:rss checkpoint=encode_clause_sample stage=log-scop clauses=5000000 bytes=4201467904 interval_clauses=1000000
c 00h01m33s | memory:rss checkpoint=encode_clause_sample stage=log-scop clauses=6000000 bytes=4302356480 interval_clauses=1000000
c 00h01m33s | memory:rss checkpoint=encode_clause_sample stage=log-scop clauses=7000000 bytes=4440457216 interval_clauses=1000000
c 00h01m34s | memory:rss checkpoint=encode_clause_sample stage=log-scop clauses=8000000 bytes=4543569920 interval_clauses=1000000
c 00h01m35s | memory:rss checkpoint=encode_clause_sample stage=log-scop clauses=9000000 bytes=5524377600 interval_clauses=1000000
c 00h01m35s | memory:rss checkpoint=encode_clause_sample stage=log-scop clauses=10000000 bytes=5621243904 interval_clauses=1000000
c 00h01m36s | memory:rss checkpoint=encode_clause_sample stage=log-scop clauses=11000000 bytes=5719908352 interval_clauses=1000000
c 00h01m36s | memory:rss checkpoint=encode_clause_sample stage=log-scop clauses=12000000 bytes=5826682880 interval_clauses=1000000
c 00h01m37s | memory:rss checkpoint=encode_clause_sample stage=log-scop clauses=13000000 bytes=5926428672 interval_clauses=1000000
c 00h01m37s | memory:rss checkpoint=encode_clause_sample stage=log-scop clauses=14000000 bytes=6104838144 interval_clauses=1000000
c 00h01m37s | memory:rss checkpoint=encode_clause_sample stage=log-scop clauses=15000000 bytes=6195847168 interval_clauses=1000000
c 00h01m38s | memory:rss checkpoint=encode_clause_sample stage=log-scop clauses=16000000 bytes=6299639808 interval_clauses=1000000
c 00h01m39s | memory:rss checkpoint=encode_clause_sample stage=log-scop clauses=17000000 bytes=8188342272 interval_clauses=1000000
c 00h01m40s | memory:rss checkpoint=encode_clause_sample stage=log-scop clauses=18000000 bytes=8269635584 interval_clauses=1000000
c 00h01m40s | memory:rss checkpoint=encode_clause_sample stage=log-scop clauses=19000000 bytes=8369049600 interval_clauses=1000000
c 00h01m41s | memory:rss checkpoint=encode_clause_sample stage=log-scop clauses=20000000 bytes=8468844544 interval_clauses=1000000
c 00h01m41s | memory:rss checkpoint=encode_clause_sample stage=log-scop clauses=21000000 bytes=8598310912 interval_clauses=1000000
c 00h01m42s | memory:rss checkpoint=encode_clause_sample stage=log-scop clauses=22000000 bytes=8700928000 interval_clauses=1000000
c 00h01m42s | memory:rss checkpoint=encode_clause_sample stage=log-scop clauses=23000000 bytes=8794812416 interval_clauses=1000000
c 00h01m42s | memory:rss checkpoint=encode_clause_sample stage=log-scop clauses=24000000 bytes=8897245184 interval_clauses=1000000
c 00h01m43s | memory:rss checkpoint=encode_clause_sample stage=log-scop clauses=25000000 bytes=8991129600 interval_clauses=1000000
c 00h01m43s | memory:rss checkpoint=encode_clause_sample stage=log-scop clauses=26000000 bytes=9083465728 interval_clauses=1000000
c 00h01m44s | memory:rss checkpoint=encode_clause_sample stage=log-scop clauses=27000000 bytes=9178161152 interval_clauses=1000000
c 00h01m44s | memory:rss checkpoint=encode_clause_sample stage=log-scop clauses=28000000 bytes=9391366144 interval_clauses=1000000
c 00h01m45s | memory:rss checkpoint=encode_clause_sample stage=log-scop clauses=29000000 bytes=9477763072 interval_clauses=1000000
c 00h01m45s | memory:rss checkpoint=encode_clause_sample stage=log-scop clauses=30000000 bytes=9576542208 interval_clauses=1000000
c 00h01m46s | memory:rss checkpoint=encode_clause_sample stage=log-scop clauses=31000000 bytes=9677099008 interval_clauses=1000000
c 00h01m46s | memory:rss checkpoint=encode_clause_sample stage=log-scop clauses=32000000 bytes=9778573312 interval_clauses=1000000
c 00h01m46s | memory:rss checkpoint=encode_clause_sample stage=log-scop clauses=33000000 bytes=9872908288 interval_clauses=1000000
c 00h01m49s | memory:rss checkpoint=encode_clause_sample stage=log-scop clauses=34000000 bytes=13563830272 interval_clauses=1000000
c 00h01m49s | memory:rss checkpoint=encode_clause_sample stage=log-scop clauses=35000000 bytes=13661519872 interval_clauses=1000000
c 00h01m50s | memory:rss checkpoint=encode_clause_sample stage=log-scop clauses=36000000 bytes=13766070272 interval_clauses=1000000
c 00h01m50s | memory:rss checkpoint=encode_clause_sample stage=log-scop clauses=37000000 bytes=13868560384 interval_clauses=1000000
c 00h01m51s | memory:rss checkpoint=encode_clause_sample stage=log-scop clauses=38000000 bytes=13962625024 interval_clauses=1000000
c 00h01m51s | memory:rss checkpoint=encode_clause_sample stage=log-scop clauses=39000000 bytes=14068649984 interval_clauses=1000000
c 00h01m52s | memory:rss checkpoint=encode_clause_sample stage=log-scop clauses=40000000 bytes=14160371712 interval_clauses=1000000
c 00h01m52s | memory:rss checkpoint=encode_clause_sample stage=log-scop clauses=41000000 bytes=14275371008 interval_clauses=1000000
c 00h01m52s | memory:rss checkpoint=encode_clause_sample stage=log-scop clauses=42000000 bytes=14378074112 interval_clauses=1000000
c 00h01m53s | memory:rss checkpoint=encode_clause_sample stage=log-scop clauses=43000000 bytes=14479912960 interval_clauses=1000000
c 00h01m53s | memory:rss checkpoint=encode_clause_sample stage=log-scop clauses=44000000 bytes=14582353920 interval_clauses=1000000
c 00h01m54s | memory:rss checkpoint=encode_clause_sample stage=log-scop clauses=45000000 bytes=14680735744 interval_clauses=1000000
c 00h01m54s | memory:rss checkpoint=encode_clause_sample stage=log-scop clauses=46000000 bytes=14778716160 interval_clauses=1000000
c 00h01m55s | memory:rss checkpoint=encode_clause_sample stage=log-scop clauses=47000000 bytes=14878445568 interval_clauses=1000000
c 00h01m55s | memory:rss checkpoint=encode_clause_sample stage=log-scop clauses=48000000 bytes=15003029504 interval_clauses=1000000
c 00h01m56s | memory:rss checkpoint=encode_clause_sample stage=log-scop clauses=49000000 bytes=15101284352 interval_clauses=1000000
c 00h01m56s | memory:rss checkpoint=encode_clause_sample stage=log-scop clauses=50000000 bytes=15195353088 interval_clauses=1000000
c 00h01m56s | memory:rss checkpoint=encode_clause_sample stage=log-scop clauses=51000000 bytes=15295365120 interval_clauses=1000000
c 00h01m57s | memory:rss checkpoint=encode_clause_sample stage=log-scop clauses=52000000 bytes=15394693120 interval_clauses=1000000
c 00h01m57s | memory:rss checkpoint=encode_clause_sample stage=log-scop clauses=53000000 bytes=15490383872 interval_clauses=1000000
c 00h01m58s | memory:rss checkpoint=encode_clause_sample stage=log-scop clauses=54000000 bytes=15588167680 interval_clauses=1000000
c 00h01m58s | memory:rss checkpoint=encode_clause_sample stage=log-scop clauses=55000000 bytes=15950557184 interval_clauses=1000000
c 00h01m59s | memory:rss checkpoint=encode_clause_sample stage=log-scop clauses=56000000 bytes=15976800256 interval_clauses=1000000
c 00h01m59s | memory:rss checkpoint=encode_clause_sample stage=log-scop clauses=57000000 bytes=16058146816 interval_clauses=1000000
c 00h01m59s | memory:rss checkpoint=encode_clause_sample stage=log-scop clauses=58000000 bytes=16169701376 interval_clauses=1000000
c 00h02m00s | memory:rss checkpoint=encode_clause_sample stage=log-scop clauses=59000000 bytes=16274894848 interval_clauses=1000000
c 00h02m00s | memory:rss checkpoint=encode_clause_sample stage=log-scop clauses=60000000 bytes=16376295424 interval_clauses=1000000
c 00h02m01s | memory:rss checkpoint=encode_clause_sample stage=log-scop clauses=61000000 bytes=16485543936 interval_clauses=1000000
c 00h02m01s | memory:rss checkpoint=encode_clause_sample stage=log-scop clauses=62000000 bytes=16592367616 interval_clauses=1000000
c 00h02m02s | memory:rss checkpoint=encode_clause_sample stage=log-scop clauses=63000000 bytes=16692924416 interval_clauses=1000000
c 00h02m02s | memory:rss checkpoint=encode_clause_sample stage=log-scop clauses=64000000 bytes=16838180864 interval_clauses=1000000
c 00h02m03s | memory:rss checkpoint=encode_clause_sample stage=log-scop clauses=65000000 bytes=16938188800 interval_clauses=1000000
c 00h02m03s | memory:rss checkpoint=encode_clause_sample stage=log-scop clauses=66000000 bytes=17043742720 interval_clauses=1000000
c 00h02m08s | memory:rss checkpoint=encode_clause_sample stage=log-scop clauses=67000000 bytes=24280145920 interval_clauses=1000000
c 00h02m08s | memory:rss checkpoint=encode_clause_sample stage=log-scop clauses=68000000 bytes=24363180032 interval_clauses=1000000
c 00h02m09s | memory:rss checkpoint=encode_clause_sample stage=log-scop clauses=69000000 bytes=24457314304 interval_clauses=1000000
c 00h02m09s | memory:rss checkpoint=encode_clause_sample stage=log-scop clauses=70000000 bytes=24561655808 interval_clauses=1000000
c 00h02m10s | memory:rss checkpoint=encode_clause_sample stage=log-scop clauses=71000000 bytes=24734982144 interval_clauses=1000000
c 00h02m10s | memory:rss checkpoint=encode_clause_sample stage=log-scop clauses=72000000 bytes=24831205376 interval_clauses=1000000
c 00h02m10s | memory:rss checkpoint=encode_clause_sample stage=log-scop clauses=73000000 bytes=24928940032 interval_clauses=1000000
c 00h02m11s | memory:rss checkpoint=encode_clause_sample stage=log-scop clauses=74000000 bytes=25028685824 interval_clauses=1000000
c 00h02m11s | memory:rss checkpoint=encode_clause_sample stage=log-scop clauses=75000000 bytes=25135259648 interval_clauses=1000000
c 00h02m12s | memory:rss checkpoint=encode_clause_sample stage=log-scop clauses=76000000 bytes=25222569984 interval_clauses=1000000
c 00h02m12s | memory:rss checkpoint=encode_clause_sample stage=log-scop clauses=77000000 bytes=25325010944 interval_clauses=1000000
c 00h02m13s | memory:rss checkpoint=encode_clause_sample stage=log-scop clauses=78000000 bytes=25454030848 interval_clauses=1000000
c 00h02m13s | memory:rss checkpoint=encode_clause_sample stage=log-scop clauses=79000000 bytes=25548099584 interval_clauses=1000000
c 00h02m14s | memory:rss checkpoint=encode_clause_sample stage=log-scop clauses=80000000 bytes=25640075264 interval_clauses=1000000
c 00h02m14s | memory:rss checkpoint=encode_clause_sample stage=log-scop clauses=81000000 bytes=25735966720 interval_clauses=1000000
c 00h02m14s | memory:rss checkpoint=encode_clause_sample stage=log-scop clauses=82000000 bytes=25835978752 interval_clauses=1000000
c 00h02m15s | memory:rss checkpoint=encode_clause_sample stage=log-scop clauses=83000000 bytes=25934745600 interval_clauses=1000000
c 00h02m15s | memory:rss checkpoint=encode_clause_sample stage=log-scop clauses=84000000 bytes=26030436352 interval_clauses=1000000
c 00h02m16s | memory:rss checkpoint=encode_clause_sample stage=log-scop clauses=85000000 bytes=26242150400 interval_clauses=1000000
c 00h02m16s | memory:rss checkpoint=encode_clause_sample stage=log-scop clauses=86000000 bytes=26333102080 interval_clauses=1000000
c 00h02m17s | memory:rss checkpoint=encode_clause_sample stage=log-scop clauses=87000000 bytes=26429661184 interval_clauses=1000000
c 00h02m17s | memory:rss checkpoint=encode_clause_sample stage=log-scop clauses=88000000 bytes=26539376640 interval_clauses=1000000
c 00h02m17s | memory:rss checkpoint=encode_clause_sample stage=log-scop clauses=89000000 bytes=26626334720 interval_clauses=1000000
c 00h02m18s | memory:rss checkpoint=encode_clause_sample stage=log-scop clauses=90000000 bytes=26724614144 interval_clauses=1000000
c 00h02m18s | memory:rss checkpoint=encode_clause_sample stage=log-scop clauses=91000000 bytes=26843770880 interval_clauses=1000000
c 00h02m19s | memory:rss checkpoint=encode_clause_sample stage=log-scop clauses=92000000 bytes=26946617344 interval_clauses=1000000
