c cmd: /host-parser-bin/kat_xcsp_31b6e7a3_scip_static /bench/competition/2022-2025/COP22to25/Cutstock-02-0_c25.xml.lzma --encoder order-ge --order-ge-table mdd-tl --order-ge-eq-ne direct-order --order-ge-direct-eq-ne-max-arity 2 --progress
c 00h00m00s | solve:start
c 00h00m00s | input: constraints=1530
c 00h00m00s | stage:propagate:start
c 00h00m00s | stage:propagate:done ms=9 pruned=89700 changed_domains=1242 entailed_tables=0
c 00h00m00s | stage:normalize:start
c 00h00m00s | stage:normalize:done ms=0 high_constraints=1530
c 00h00m00s | stage:lower:start
c 00h00m00s | stage:lower:done ms=54 lowered=1530 unsupported=0
c 00h00m00s | stage:post_lower:start
c 00h00m00s | stage:post_lower:done ms=20 rounds=138 tightened=1242 removed_cls=1380 removed_lits=0 unsat=false precise_hits=0 precise_rounds=1 pivot_recomputes=171946 pivot_exact_attempts=170154 pivot_general_attempts=171946 pivot_general_rest_missing=0 pivot_general_bound_missing=0 pivot_general_no_change=171946 pivot_general_tightened=0 setup_ms=7 loop_ms=11 pivot_ms=0 pivot_version_ms=0 pivot_exact_ms=0 pivot_general_ms=0 pivot_general_prepare_ms=0 pivot_general_rest_ms=0 pivot_general_derive_ms=0 apply_ms=0 sat_ms=0 precise_ms=0
c 00h00m00s | stage:lowered-shape int_vars=1518 bool_vars=2466 linear_atoms=4268 table_atoms=0 table_tuples=0 table_scope=0 alldiff_atoms=0 circuit_atoms=0 product_atoms=0 logical_clauses=4121
c 00h00m00s | stage:root-lp:start backend=scip-ffi
c 00h00m00s | stage:root-lp:bound backend=scip-ffi status=optimal objective_value=126.011 naive_bounds=[0,138] lp_bounds=[127,138] improved=1 rows=2888 vars=3984 ms=492
c 00h00m00s | stage:preencode(order-ge):start
c 00h00m00s | stage:preencode(order-ge):done ms=41 int_vars=4344
c 00h00m00s | stage:encode(order-ge):start
c 00h01m52s | stage:encode(order-ge):done ms=111931 sat_vars=2257694 sat_clauses=413215485 ext_ge_specs=0 relaxed_circuits=0
c 00h01m52s | stage:sat:init solver=CaDiCaL vars=2257694 clauses=413215485
c 00h01m52s | stage:sat:solve:start round=1 cegar_rounds=1 assumptions=0
c 00h04m28s | stage:sat:solve:done round=1 ms=155795 result=Sat assumptions=0
c 00h04m28s | stage:decode:start round=1 requested_int_ids=1518
c 00h04m28s | stage:decode:final:start round=1 requested_int_ids=1518
c 00h04m28s | stage:decode:done round=1 int_assignments=1518
c 00h04m28s | stage:relaxation:done clauses_added=0 cegar_failures=0 cegar_rounds=1 cegar_added_clauses=0
c 00h04m28s | result:Sat
c 00h04m28s | objective:incumbent kind=initial value=138 rounds=1 improvements=0
o 138
c 00h04m28s | stage:sat:init solver=CaDiCaL vars=2257694 clauses=413215485
c 00h04m28s | stage:sat:solve:start round=1 cegar_rounds=2 assumptions=0
c 00h04m32s | stage:sat:solve:done round=1 ms=3726 result=Sat assumptions=0
c 00h04m32s | stage:decode:start round=1 requested_int_ids=1518
c 00h04m32s | stage:relaxation:done round=1 clauses_added=1 cegar_failures=1 cegar_rounds=2 cegar_added_clauses=1
c 00h04m32s | stage:sat:solve:start round=2 cegar_rounds=3 assumptions=0
c 00h04m34s | stage:sat:solve:done round=2 ms=1706 result=Sat assumptions=0
c 00h04m34s | stage:decode:start round=2 requested_int_ids=1518
c 00h04m34s | stage:relaxation:done round=2 clauses_added=1 cegar_failures=2 cegar_rounds=3 cegar_added_clauses=2
c 00h04m34s | stage:sat:solve:start round=3 cegar_rounds=4 assumptions=0
c 00h04m36s | stage:sat:solve:done round=3 ms=1790 result=Sat assumptions=0
c 00h04m36s | stage:decode:start round=3 requested_int_ids=1518
c 00h04m36s | stage:relaxation:done round=3 clauses_added=1 cegar_failures=3 cegar_rounds=4 cegar_added_clauses=3
c 00h04m36s | stage:sat:solve:start round=4 cegar_rounds=5 assumptions=0
c 00h04m38s | stage:sat:solve:done round=4 ms=1365 result=Sat assumptions=0
c 00h04m38s | stage:decode:start round=4 requested_int_ids=1518
c 00h04m38s | stage:relaxation:done round=4 clauses_added=1 cegar_failures=4 cegar_rounds=5 cegar_added_clauses=4
c 00h04m38s | stage:sat:solve:start round=5 cegar_rounds=6 assumptions=0
c 00h04m39s | stage:sat:solve:done round=5 ms=1330 result=Sat assumptions=0
c 00h04m39s | stage:decode:start round=5 requested_int_ids=1518
c 00h04m40s | stage:relaxation:done round=5 clauses_added=1 cegar_failures=5 cegar_rounds=6 cegar_added_clauses=5
c 00h04m40s | stage:sat:solve:start round=6 cegar_rounds=7 assumptions=0
c 00h04m41s | stage:sat:solve:done round=6 ms=1322 result=Sat assumptions=0
c 00h04m41s | stage:decode:start round=6 requested_int_ids=1518
c 00h04m41s | stage:relaxation:done round=6 clauses_added=1 cegar_failures=6 cegar_rounds=7 cegar_added_clauses=6
c 00h04m41s | stage:sat:solve:start round=7 cegar_rounds=8 assumptions=0
