c cmd: /host-parser-bin/kat_xcsp_b85de3f1_dirty_logscop_directexpr_norootlp_20260521 /bench/competition/2022-2025/COP22to25/WordGolf-7-ogd2008-50-0_c24.xml.lzma --encoder log-scop --cop-objective-cut direct-expr --order-ge-table mdd-tl --no-root-lp-bound --progress
c 00h00m00s | solve:start
c 00h00m00s | input: constraints=488
c 00h00m00s | stage:propagate:start
c 00h00m01s | stage:propagate:done ms=917 pruned=120380 changed_domains=18 entailed_tables=0
c 00h00m01s | memory:rss checkpoint=after_propagate bytes=212316160
c 00h00m01s | stage:normalize:start
c 00h00m01s | stage:normalize:done ms=0 high_constraints=488
c 00h00m01s | stage:lower:start
c 00h01m12s | stage:lower:done ms=71046 lowered=488 unsupported=0
c 00h01m12s | memory:rss checkpoint=after_lower bytes=2502942720
c 00h01m12s | stage:post_lower:start
c 00h01m16s | stage:post_lower:done ms=4655 rounds=0 tightened=0 removed_cls=6 removed_lits=0 unsat=false precise_hits=49 precise_rounds=1 pivot_recomputes=0 pivot_exact_attempts=0 pivot_general_attempts=0 pivot_general_rest_missing=0 pivot_general_bound_missing=0 pivot_general_no_change=0 pivot_general_tightened=0 setup_ms=2149 loop_ms=2123 pivot_ms=0 pivot_version_ms=0 pivot_exact_ms=0 pivot_general_ms=0 pivot_general_prepare_ms=0 pivot_general_rest_ms=0 pivot_general_derive_ms=0 apply_ms=345 sat_ms=0 precise_ms=35
c 00h01m16s | memory:rss checkpoint=after_post_lower bytes=3060592640
c 00h01m16s | stage:lowered-shape int_vars=450 bool_vars=343 linear_atoms=2890001 table_atoms=0 table_tuples=0 table_scope=0 alldiff_atoms=0 circuit_atoms=0 product_atoms=0 logical_clauses=20164911
c 00h01m16s | stage:root-lp:skip reason=disabled_by_option ms=0
c 00h01m16s | memory:rss checkpoint=before_preencode bytes=3063828480
c 00h01m16s | stage:preencode(log-scop):start
c 00h01m16s | stage:preencode(log-scop):done ms=70 int_vars=450
c 00h01m16s | memory:rss checkpoint=after_preencode bytes=2993942528
c 00h01m16s | memory:rss checkpoint=before_encode bytes=2993942528
c 00h01m16s | stage:encode(log-scop):start
c 00h01m20s | memory:rss checkpoint=encode_clause_sample stage=log-scop clauses=1000000 bytes=3072299008 interval_clauses=1000000
c 00h01m20s | memory:rss checkpoint=encode_clause_sample stage=log-scop clauses=2000000 bytes=3150987264 interval_clauses=1000000
c 00h01m21s | memory:rss checkpoint=encode_clause_sample stage=log-scop clauses=3000000 bytes=3409477632 interval_clauses=1000000
c 00h01m22s | memory:rss checkpoint=encode_clause_sample stage=log-scop clauses=4000000 bytes=3457810432 interval_clauses=1000000
c 00h01m22s | memory:rss checkpoint=encode_clause_sample stage=log-scop clauses=5000000 bytes=4054872064 interval_clauses=1000000
c 00h01m23s | memory:rss checkpoint=encode_clause_sample stage=log-scop clauses=6000000 bytes=4119048192 interval_clauses=1000000
c 00h01m23s | memory:rss checkpoint=encode_clause_sample stage=log-scop clauses=7000000 bytes=4220243968 interval_clauses=1000000
c 00h01m23s | memory:rss checkpoint=encode_clause_sample stage=log-scop clauses=8000000 bytes=4372537344 interval_clauses=1000000
c 00h01m24s | memory:rss checkpoint=encode_clause_sample stage=log-scop clauses=9000000 bytes=5412745216 interval_clauses=1000000
c 00h01m25s | memory:rss checkpoint=encode_clause_sample stage=log-scop clauses=10000000 bytes=5500284928 interval_clauses=1000000
c 00h01m25s | memory:rss checkpoint=encode_clause_sample stage=log-scop clauses=11000000 bytes=5599440896 interval_clauses=1000000
c 00h01m25s | memory:rss checkpoint=encode_clause_sample stage=log-scop clauses=12000000 bytes=5701992448 interval_clauses=1000000
c 00h01m26s | memory:rss checkpoint=encode_clause_sample stage=log-scop clauses=13000000 bytes=5798621184 interval_clauses=1000000
c 00h01m26s | memory:rss checkpoint=encode_clause_sample stage=log-scop clauses=14000000 bytes=5896638464 interval_clauses=1000000
c 00h01m27s | memory:rss checkpoint=encode_clause_sample stage=log-scop clauses=15000000 bytes=5991182336 interval_clauses=1000000
c 00h01m27s | memory:rss checkpoint=encode_clause_sample stage=log-scop clauses=16000000 bytes=6169513984 interval_clauses=1000000
c 00h01m27s | memory:rss checkpoint=encode_clause_sample stage=log-scop clauses=17000000 bytes=6255718400 interval_clauses=1000000
c 00h01m29s | memory:rss checkpoint=encode_clause_sample stage=log-scop clauses=18000000 bytes=8247541760 interval_clauses=1000000
c 00h01m29s | memory:rss checkpoint=encode_clause_sample stage=log-scop clauses=19000000 bytes=8328871936 interval_clauses=1000000
c 00h01m30s | memory:rss checkpoint=encode_clause_sample stage=log-scop clauses=20000000 bytes=8431198208 interval_clauses=1000000
c 00h01m30s | memory:rss checkpoint=encode_clause_sample stage=log-scop clauses=21000000 bytes=8529481728 interval_clauses=1000000
c 00h01m30s | memory:rss checkpoint=encode_clause_sample stage=log-scop clauses=22000000 bytes=8633909248 interval_clauses=1000000
c 00h01m31s | memory:rss checkpoint=encode_clause_sample stage=log-scop clauses=23000000 bytes=8729726976 interval_clauses=1000000
c 00h01m31s | memory:rss checkpoint=encode_clause_sample stage=log-scop clauses=24000000 bytes=8856559616 interval_clauses=1000000
c 00h01m32s | memory:rss checkpoint=encode_clause_sample stage=log-scop clauses=25000000 bytes=8956850176 interval_clauses=1000000
c 00h01m32s | memory:rss checkpoint=encode_clause_sample stage=log-scop clauses=26000000 bytes=9057894400 interval_clauses=1000000
c 00h01m32s | memory:rss checkpoint=encode_clause_sample stage=log-scop clauses=27000000 bytes=9161871360 interval_clauses=1000000
c 00h01m33s | memory:rss checkpoint=encode_clause_sample stage=log-scop clauses=28000000 bytes=9276612608 interval_clauses=1000000
c 00h01m33s | memory:rss checkpoint=encode_clause_sample stage=log-scop clauses=29000000 bytes=9378193408 interval_clauses=1000000
c 00h01m34s | memory:rss checkpoint=encode_clause_sample stage=log-scop clauses=30000000 bytes=9488404480 interval_clauses=1000000
c 00h01m34s | memory:rss checkpoint=encode_clause_sample stage=log-scop clauses=31000000 bytes=9596317696 interval_clauses=1000000
