
ACE v2.6 

  instance
    name:HSP-table-13408_c23
    args:/work/19331811_465/HSP-table-13408_c23.xml -rr=true -rlog=false -npc=true

 ...Parsing /work/19331811_465/HSP-table-13408_c23.xml

 ...Loading variables

 ...Loading constraints

  domains
    types:23  values:51,629  sizes:[2:144,9:9,36:1,50:1...94:1,408:1,568:72,1176:8]
  variables
    count:242  omitted:1  auxiliary:207  arrays:[t:9,o:9,d:8,g:8,_ax_:207]  degrees:[1:44,2:158,3:11,4:10...32:1,33:2,34:4,35:2]
  constraints
    count:359  specific:287  generic:72  backtrackable:17  groups:6  arities:[1:26,2:63,3:268,9:2]
    unary:[Extension1:24]  objective:[ObjVarGE,ObjVarLE]
    non_unary:[AllDifferentComplete:1,CT-Table:16,DisjonctiveReified:36,Intension:72,Maximum:1,Reif3LE:72,Reif3LT:72,Sub2EQ:63]
    tables:[29376:1,40800:1,44880:1,50592:1...68544:1,75072:1,76704:1,322624:8]  tuples:3,028,160
    extStructures:(9,shared:7)  intStructures:(1,shared:71)
    wck:1.62  cpu:1.996  mem:1711M276
  objective
    way:min  type:ObjVarLE  arity:1  bounds:180..587

 ...Building solver

  solver
    nNotAC:63  reviser:Reviser3  decoder:Decoder1
    wck:1.91  cpu:2.279  mem:2566M914

  preprocessing
    effs:130  revisions:(510,useless=510)  entailed:40  values:30,083  removedByAC:21,546  singletons:32  unsat:false
    wck:0.107  cpu:2.386  mem:2566M914

  search
 ...Discarding 36 singleton variables
    run1  dpts:2..3  robin:PickOnDom-First  effs:8,132  asgs:(53,noefs=0,fails=50)  fails:50  wrgs:50  wck:0.42  ngds:50
    run2  dpts:3..8  robin:WdegOnDom-Last  effs:11,565  asgs:(61,noefs=0,fails=52)  fails:102  wrgs:107  wck:0.47  ngds:83
    run3  dpts:9..41  robin:FrbaOnDom-Rand  effs:17,949  asgs:(183,noefs=39,fails=55)  fails:157  wrgs:212  wck:0.60  ngds:101
    run4  dpts:4..6  robin:Wdeg-First  effs:23,163  asgs:(65,noefs=0,fails=57)  fails:214  wrgs:270  wck:0.71  ngds:157
    run5  dpts:9..14  robin:PickOnDom-Last  effs:28,453  asgs:(84,noefs=1,fails=60)  fails:274  wrgs:341  wck:0.86  ngds:197
    run6  dpts:2..6  robin:WdegOnDom-Rand  effs:42,952  asgs:(113,noefs=0,fails=63)  fails:337  wrgs:442  wck:1.49  ngds:202
    run7  dpts:9..36  robin:FrbaOnDom-First  effs:51,574  asgs:(192,noefs=37,fails=67)  fails:404  wrgs:552  wck:1.66  ngds:219
    run8  dpts:4..7  robin:Wdeg-Last  effs:59,573  asgs:(82,noefs=0,fails=70)  fails:474  wrgs:628  wck:1.72  ngds:256
    run9  dpts:6..14  robin:PickOnDom-Rand  effs:69,114  asgs:(123,noefs=1,fails=73)  fails:547  wrgs:736  wck:1.92  ngds:260
    run10  dpts:2..8  robin:WdegOnDom-First  effs:75,490  asgs:(127,noefs=0,fails=77)  fails:624  wrgs:853  wck:2.08  ngds:267
    run11  dpts:13..74  robin:FrbaOnDom-Last  effs:80,556  asgs:(197,noefs=20,fails=81)  fails:705  wrgs:963  wck:2.19  ngds:286
    run12  dpts:5..5  robin:Wdeg-Rand  effs:88,530  asgs:(90,noefs=0,fails=85)  fails:790  wrgs:1,048  wck:2.98  ngds:371
    run13  dpts:12..19  robin:PickOnDom-First  effs:97,589  asgs:(158,noefs=8,fails=89)  fails:879  wrgs:1,178  wck:3.08  ngds:379
    run14  dpts:3..8  robin:WdegOnDom-Last  effs:114,036  asgs:(171,noefs=0,fails=94)  fails:973  wrgs:1,336  wck:3.30  ngds:389
    run15  dpts:4..68  robin:FrbaOnDom-Rand  effs:128,484  asgs:(281,noefs=52,fails=98)  fails:1,071  wrgs:1,516  wck:3.56  ngds:396
    run16  dpts:2..6  robin:Wdeg-First  effs:138,368  asgs:(120,noefs=1,fails=103)  fails:1,174  wrgs:1,632  wck:3.61  ngds:405
    run17  dpts:7..40  robin:PickOnDom-Last  effs:154,494  asgs:(196,noefs=11,fails=109)  fails:1,283  wrgs:1,784  wck:4.10  ngds:465
    run18  dpts:4..9  robin:WdegOnDom-Rand  effs:177,972  asgs:(196,noefs=0,fails=114)  fails:1,397  wrgs:1,963  wck:4.87  ngds:472
    run19  dpts:5..67  robin:FrbaOnDom-First  effs:217,289  asgs:(386,noefs=118,fails=120)  fails:1,517  wrgs:2,214  wck:5.61  ngds:504
    run20  dpts:4..8  robin:Wdeg-Last  effs:228,985  asgs:(140,noefs=0,fails=126)  fails:1,643  wrgs:2,346  wck:5.83  ngds:614
    run21  dpts:4..12  robin:PickOnDom-Rand  effs:244,432  asgs:(218,noefs=0,fails=132)  fails:1,775  wrgs:2,538  wck:6.45  ngds:620
    run22  dpts:2..7  robin:WdegOnDom-First  effs:259,959  asgs:(230,noefs=0,fails=139)  fails:1,914  wrgs:2,745  wck:6.84  ngds:626
    run23  dpts:5..35  robin:FrbaOnDom-Last  effs:280,163  asgs:(311,noefs=19,fails=146)  fails:2,060  wrgs:2,959  wck:7.25  ngds:641
    run24  dpts:2..5  robin:Wdeg-Rand  effs:291,981  asgs:(163,noefs=0,fails=153)  fails:2,213  wrgs:3,117  wck:7.48  ngds:713
    run25  dpts:7..15  robin:PickOnDom-First  effs:307,877  asgs:(270,noefs=4,fails=161)  fails:2,374  wrgs:3,366  wck:7.65  ngds:722
    run26  dpts:2..7  robin:WdegOnDom-Last  effs:346,171  asgs:(306,noefs=0,fails=169)  fails:2,543  wrgs:3,650  wck:8.86  ngds:730
    run27  dpts:8..46  robin:FrbaOnDom-Rand  effs:369,598  asgs:(415,noefs=57,fails=177)  fails:2,720  wrgs:3,948  wck:9.25  ngds:740
    run28  dpts:3..6  robin:Wdeg-First  effs:386,228  asgs:(192,noefs=1,fails=186)  fails:2,906  wrgs:4,136  wck:9.33  ngds:779
o 587   12.4  ham=0 (0 0 0 0 0 0)  opth=0
    run29  dpts:4..49  robin:PickOnDom-Last  effs:436,495  asgs:(313,noefs=20,fails=196)  fails:3,102  wrgs:4,412  wck:11.4  ngds:816  sols:1  bounds:180..586
    run30  dpts:4..8  robin:WdegOnDom-Rand  effs:443,461  asgs:(82,noefs=0,fails=50)  fails:3,152  wrgs:4,485  wck:11.7  ngds:824  sols:1  bounds:180..586
    run31  dpts:2..28  robin:FrbaOnDom-First  effs:448,535  asgs:(103,noefs=13,fails=52)  fails:3,204  wrgs:4,555  wck:11.8  ngds:858  sols:1  bounds:180..586
o 586   13.8  ham=104 (8 8 2 2 1 83)  opth=1
    run32  dpts:0..4  robin:Wdeg-Last  effs:456,702  asgs:(62,noefs=0,fails=55)  fails:3,259  wrgs:4,610  wck:12.2  ngds:882  sols:2  bounds:180..585
    run33  dpts:3..9  robin:PickOnDom-Rand  effs:465,132  asgs:(88,noefs=1,fails=50)  fails:3,309  wrgs:4,685  wck:12.4  ngds:890  sols:2  bounds:180..585
    run34  dpts:4..8  robin:WdegOnDom-First  effs:472,363  asgs:(91,noefs=1,fails=52)  fails:3,361  wrgs:4,766  wck:12.6  ngds:897  sols:2  bounds:180..585
    run35  dpts:2..60  robin:FrbaOnDom-Last  effs:483,482  asgs:(147,noefs=19,fails=55)  fails:3,416  wrgs:4,850  wck:12.9  ngds:904  sols:2  bounds:180..585
    run36  dpts:2..7  robin:Wdeg-Rand  effs:486,840  asgs:(79,noefs=0,fails=57)  fails:3,473  wrgs:4,921  wck:13.0  ngds:924  sols:2  bounds:180..585
    run37  dpts:7..13  robin:PickOnDom-First  effs:493,113  asgs:(112,noefs=3,fails=60)  fails:3,533  wrgs:5,021  wck:13.1  ngds:927  sols:2  bounds:180..585
    run38  dpts:2..6  robin:WdegOnDom-Last  effs:503,872  asgs:(107,noefs=0,fails=63)  fails:3,596  wrgs:5,121  wck:13.2  ngds:934  sols:2  bounds:180..585
    run39  dpts:1..45  robin:FrbaOnDom-Rand  effs:513,698  asgs:(212,noefs=40,fails=67)  fails:3,663  wrgs:5,248  wck:13.6  ngds:946  sols:2  bounds:180..585
    run40  dpts:0..2  robin:Wdeg-First  effs:537,373  asgs:(73,noefs=0,fails=70)  fails:3,733  wrgs:5,319  wck:14.5  ngds:947  sols:2  bounds:180..585
 ...Discarding 1 singleton variables
    run41  dpts:3..8  robin:PickOnDom-Last  effs:552,250  asgs:(127,noefs=0,fails=73)  fails:3,806  wrgs:5,435  wck:14.8  ngds:952  sols:2  bounds:180..585
 ...Starting SOS
o 584   16.9  ham=72 (8 0 4 4 1 55)  opth=1
o 580   16.9  ham=45 (5 0 2 3 1 34)  opth=1
o 579   16.9  ham=37 (4 0 1 2 1 29)  opth=1
o 575   16.9  ham=50 (6 0 1 2 1 40)  opth=1
o 574   16.9  ham=62 (7 0 3 4 1 47)  opth=1
o 573   16.9  ham=39 (4 0 2 3 1 29)  opth=1
o 572   16.9  ham=22 (2 0 1 2 1 16)  opth=1
o 571   16.9  ham=43 (5 0 1 2 1 34)  opth=1
o 570   16.9  ham=60 (7 0 2 3 1 47)  opth=1
o 569   16.9  ham=22 (2 0 1 2 1 16)  opth=1
    run42  dpts:5..15  robin:WdegOnDom-Rand  effs:561,458  asgs:(119,noefs=0,fails=77)  fails:3,883  wrgs:5,520  wck:15.3  ngds:1,030  sols:12  bounds:180..568
    run43  dpts:22..56  robin:FrbaOnDom-First  effs:574,446  asgs:(171,noefs=55,fails=50)  fails:3,933  wrgs:5,644  wck:15.6  ngds:1,038  sols:12  bounds:180..568
    run44  dpts:0..0  robin:Wdeg-Last  effs:576,955  asgs:(52,noefs=0,fails=52)  fails:3,985  wrgs:5,696  wck:15.7  ngds:1,038  sols:12  bounds:180..568
    run45  dpts:7..13  robin:PickOnDom-Rand  effs:583,559  asgs:(102,noefs=0,fails=55)  fails:4,040  wrgs:5,784  wck:15.9  ngds:1,039  sols:12  bounds:180..568
    run46  dpts:5..9  robin:WdegOnDom-First  effs:596,145  asgs:(105,noefs=0,fails=57)  fails:4,097  wrgs:5,875  wck:16.6  ngds:1,052  sols:12  bounds:180..568
    run47  dpts:8..53  robin:FrbaOnDom-Last  effs:607,234  asgs:(174,noefs=36,fails=60)  fails:4,157  wrgs:6,018  wck:17.0  ngds:1,061  sols:12  bounds:180..568
    run48  dpts:0..4  robin:Wdeg-Rand  effs:611,647  asgs:(72,noefs=0,fails=63)  fails:4,220  wrgs:6,086  wck:17.1  ngds:1,074  sols:12  bounds:180..568
    run49  dpts:7..12  robin:PickOnDom-First  effs:633,715  asgs:(129,noefs=0,fails=67)  fails:4,287  wrgs:6,197  wck:18.0  ngds:1,079  sols:12  bounds:180..568
    run50  dpts:4..9  robin:WdegOnDom-Last  effs:646,455  asgs:(114,noefs=0,fails=70)  fails:4,357  wrgs:6,295  wck:18.6  ngds:1,089  sols:12  bounds:180..568
    run51  dpts:9..17  robin:FrbaOnDom-Rand  effs:657,763  asgs:(138,noefs=4,fails=73)  fails:4,430  wrgs:6,413  wck:19.1  ngds:1,095  sols:12  bounds:180..568
    run52  dpts:2..2  robin:Wdeg-First  effs:663,012  asgs:(79,noefs=0,fails=77)  fails:4,507  wrgs:6,490  wck:19.2  ngds:1,172  sols:12  bounds:180..568
    run53  dpts:5..17  robin:PickOnDom-Last  effs:673,687  asgs:(117,noefs=7,fails=81)  fails:4,588  wrgs:6,594  wck:19.6  ngds:1,187  sols:12  bounds:180..568
    run54  dpts:5..9  robin:WdegOnDom-Rand  effs:690,641  asgs:(157,noefs=0,fails=85)  fails:4,673  wrgs:6,728  wck:20.5  ngds:1,195  sols:12  bounds:180..568
    run55  dpts:11..22  robin:FrbaOnDom-First  effs:705,912  asgs:(177,noefs=5,fails=89)  fails:4,762  wrgs:6,877  wck:21.0  ngds:1,208  sols:12  bounds:180..568
    run56  dpts:3..3  robin:Wdeg-Last  effs:717,728  asgs:(97,noefs=0,fails=94)  fails:4,856  wrgs:6,971  wck:21.9  ngds:1,302  sols:12  bounds:180..568
    run57  dpts:5..11  robin:PickOnDom-Rand  effs:747,942  asgs:(185,noefs=0,fails=98)  fails:4,954  wrgs:7,132  wck:23.2  ngds:1,314  sols:12  bounds:180..568
    run58  dpts:4..10  robin:WdegOnDom-First  effs:772,127  asgs:(206,noefs=0,fails=103)  fails:5,057  wrgs:7,310  wck:24.1  ngds:1,320  sols:12  bounds:180..568
    run59  dpts:4..18  robin:FrbaOnDom-Last  effs:793,244  asgs:(225,noefs=2,fails=109)  fails:5,166  wrgs:7,501  wck:25.1  ngds:1,324  sols:12  bounds:180..568
    run60  dpts:3..3  robin:Wdeg-Rand  effs:811,585  asgs:(117,noefs=0,fails=114)  fails:5,280  wrgs:7,615  wck:26.2  ngds:1,438  sols:12  bounds:180..568
    run61  dpts:6..10  robin:PickOnDom-First  effs:832,939  asgs:(145,noefs=0,fails=120)  fails:5,400  wrgs:7,750  wck:27.2  ngds:1,532  sols:12  bounds:180..568
    run62  dpts:3..7  robin:WdegOnDom-Last  effs:872,144  asgs:(215,noefs=0,fails=126)  fails:5,526  wrgs:7,951  wck:29.1  ngds:1,542  sols:12  bounds:180..568
    run63  dpts:11..61  robin:FrbaOnDom-Rand  effs:912,134  asgs:(506,noefs=200,fails=132)  fails:5,658  wrgs:8,357  wck:30.0  ngds:1,558  sols:12  bounds:180..568
    run64  dpts:1..4  robin:Wdeg-First  effs:918,429  asgs:(143,noefs=0,fails=139)  fails:5,797  wrgs:8,496  wck:30.0  ngds:1,697  sols:12  bounds:180..568
    run65  dpts:3..9  robin:PickOnDom-Last  effs:948,667  asgs:(222,noefs=0,fails=146)  fails:5,943  wrgs:8,705  wck:31.2  ngds:1,769  sols:12  bounds:180..568
    run66  dpts:3..9  robin:WdegOnDom-Rand  effs:988,609  asgs:(285,noefs=0,fails=153)  fails:6,096  wrgs:8,951  wck:33.1  ngds:1,775  sols:12  bounds:180..568
    run67  dpts:4..37  robin:FrbaOnDom-First  effs:1,009,173  asgs:(400,noefs=39,fails=161)  fails:6,257  wrgs:9,228  wck:33.7  ngds:1,785  sols:12  bounds:180..568
    run68  dpts:2..5  robin:Wdeg-Last  effs:1,026,334  asgs:(177,noefs=0,fails=169)  fails:6,426  wrgs:9,400  wck:34.1  ngds:1,946  sols:12  bounds:180..568
    run69  dpts:3..12  robin:PickOnDom-Rand  effs:1,067,560  asgs:(343,noefs=0,fails=177)  fails:6,603  wrgs:9,695  wck:35.9  ngds:1,950  sols:12  bounds:180..568
    run70  dpts:4..11  robin:WdegOnDom-First  effs:1,104,245  asgs:(340,noefs=1,fails=186)  fails:6,789  wrgs:10,001  wck:36.9  ngds:1,965  sols:12  bounds:180..568
    run71  dpts:4..13  robin:FrbaOnDom-Last  effs:1,147,805  asgs:(371,noefs=0,fails=196)  fails:6,985  wrgs:10,337  wck:38.6  ngds:1,972  sols:12  bounds:180..568
 ...resetting heuristics data (nValues:27,969 - nSingletons:37 - nEntailed:45)
    run72  dpts:4..6  robin:Wdeg-Rand  effs:1,162,946  asgs:(215,noefs=0,fails=205)  fails:7,190  wrgs:10,545  wck:38.7  ngds:2,015  sols:12  bounds:180..568
    run73  dpts:2..9  robin:PickOnDom-First  effs:1,184,679  asgs:(247,noefs=0,fails=216)  fails:7,406  wrgs:10,780  wck:39.0  ngds:2,079  sols:12  bounds:180..568
    run74  dpts:3..4  robin:WdegOnDom-Last  effs:1,197,035  asgs:(237,noefs=0,fails=226)  fails:7,632  wrgs:11,013  wck:39.1  ngds:2,139  sols:12  bounds:180..568
