c cmd: /host-parser-bin/kat_xcsp_b85de3f1_dirty_logscop_directexpr_norootlp_20260521 /bench/competition/2022-2025/COP22to25/FlexibleJobshopScen-dh-6-18-020_c25.xml.lzma --encoder log-scop --cop-objective-cut direct-expr --order-ge-table mdd-tl --no-root-lp-bound --progress
c 00h00m00s | solve:start
c 00h00m00s | input: constraints=1505
c 00h00m00s | stage:propagate:start
c 00h00m00s | stage:propagate:done ms=2 pruned=0 changed_domains=0 entailed_tables=0
c 00h00m00s | memory:rss checkpoint=after_propagate bytes=5234688
c 00h00m00s | stage:normalize:start
c 00h00m00s | stage:normalize:done ms=0 high_constraints=1505
c 00h00m00s | stage:lower:start
c 00h01m11s | stage:lower:done ms=71713 lowered=1505 unsupported=0
c 00h01m11s | memory:rss checkpoint=after_lower bytes=3726090240
c 00h01m11s | stage:post_lower:start
c 00h01m25s | stage:post_lower:done ms=13816 rounds=190 tightened=380 removed_cls=3319344 removed_lits=1719915 unsat=false precise_hits=0 precise_rounds=0 pivot_recomputes=800 pivot_exact_attempts=0 pivot_general_attempts=800 pivot_general_rest_missing=0 pivot_general_bound_missing=0 pivot_general_no_change=620 pivot_general_tightened=180 setup_ms=6340 loop_ms=4457 pivot_ms=0 pivot_version_ms=0 pivot_exact_ms=0 pivot_general_ms=0 pivot_general_prepare_ms=0 pivot_general_rest_ms=0 pivot_general_derive_ms=0 apply_ms=1153 sat_ms=0 precise_ms=0
c 00h01m25s | memory:rss checkpoint=after_post_lower bytes=4549545984
c 00h01m27s | stage:lowered-shape int_vars=2962891 bool_vars=5924235 linear_atoms=8496213 table_atoms=0 table_tuples=0 table_scope=0 alldiff_atoms=0 circuit_atoms=0 product_atoms=0 logical_clauses=14817500
c 00h01m27s | stage:root-lp:skip reason=disabled_by_option ms=0
c 00h01m28s | memory:rss checkpoint=before_preencode bytes=4644491264
c 00h01m28s | stage:preencode(log-scop):start
c 00h01m31s | stage:preencode(log-scop):done ms=2625 int_vars=2962891
c 00h01m31s | memory:rss checkpoint=after_preencode bytes=4810874880
c 00h01m31s | memory:rss checkpoint=before_encode bytes=4810883072
c 00h01m31s | stage:encode(log-scop):start
c 00h01m41s | memory:rss checkpoint=encode_clause_sample stage=log-scop clauses=1000000 bytes=7864053760 interval_clauses=1000000
c 00h01m42s | memory:rss checkpoint=encode_clause_sample stage=log-scop clauses=2000000 bytes=7864348672 interval_clauses=1000000
c 00h01m42s | memory:rss checkpoint=encode_clause_sample stage=log-scop clauses=3000000 bytes=7864348672 interval_clauses=1000000
c 00h01m43s | memory:rss checkpoint=encode_clause_sample stage=log-scop clauses=4000000 bytes=7864348672 interval_clauses=1000000
c 00h01m43s | memory:rss checkpoint=encode_clause_sample stage=log-scop clauses=5000000 bytes=7904641024 interval_clauses=1000000
c 00h01m44s | memory:rss checkpoint=encode_clause_sample stage=log-scop clauses=6000000 bytes=7910932480 interval_clauses=1000000
c 00h01m44s | memory:rss checkpoint=encode_clause_sample stage=log-scop clauses=7000000 bytes=7919689728 interval_clauses=1000000
c 00h01m45s | memory:rss checkpoint=encode_clause_sample stage=log-scop clauses=8000000 bytes=7928745984 interval_clauses=1000000
c 00h01m45s | memory:rss checkpoint=encode_clause_sample stage=log-scop clauses=9000000 bytes=7936700416 interval_clauses=1000000
c 00h01m45s | memory:rss checkpoint=encode_clause_sample stage=log-scop clauses=10000000 bytes=7942991872 interval_clauses=1000000
c 00h01m46s | memory:rss checkpoint=encode_clause_sample stage=log-scop clauses=11000000 bytes=7951380480 interval_clauses=1000000
c 00h01m46s | memory:rss checkpoint=encode_clause_sample stage=log-scop clauses=12000000 bytes=7959769088 interval_clauses=1000000
c 00h01m47s | memory:rss checkpoint=encode_clause_sample stage=log-scop clauses=13000000 bytes=7966060544 interval_clauses=1000000
c 00h01m47s | memory:rss checkpoint=encode_clause_sample stage=log-scop clauses=14000000 bytes=8025182208 interval_clauses=1000000
c 00h01m48s | memory:rss checkpoint=encode_clause_sample stage=log-scop clauses=15000000 bytes=8123596800 interval_clauses=1000000
c 00h01m50s | memory:rss checkpoint=encode_clause_sample stage=log-scop clauses=16000000 bytes=11097866240 interval_clauses=1000000
c 00h01m50s | memory:rss checkpoint=encode_clause_sample stage=log-scop clauses=17000000 bytes=11145838592 interval_clauses=1000000
c 00h01m51s | memory:rss checkpoint=encode_clause_sample stage=log-scop clauses=18000000 bytes=11244601344 interval_clauses=1000000
c 00h01m51s | memory:rss checkpoint=encode_clause_sample stage=log-scop clauses=19000000 bytes=11341639680 interval_clauses=1000000
c 00h01m52s | memory:rss checkpoint=encode_clause_sample stage=log-scop clauses=20000000 bytes=11452911616 interval_clauses=1000000
c 00h01m52s | memory:rss checkpoint=encode_clause_sample stage=log-scop clauses=21000000 bytes=11552591872 interval_clauses=1000000
c 00h01m53s | memory:rss checkpoint=encode_clause_sample stage=log-scop clauses=22000000 bytes=11648913408 interval_clauses=1000000
c 00h01m53s | memory:rss checkpoint=encode_clause_sample stage=log-scop clauses=23000000 bytes=11747606528 interval_clauses=1000000
c 00h01m54s | memory:rss checkpoint=encode_clause_sample stage=log-scop clauses=24000000 bytes=11852767232 interval_clauses=1000000
c 00h01m54s | memory:rss checkpoint=encode_clause_sample stage=log-scop clauses=25000000 bytes=11951607808 interval_clauses=1000000
