c cmd: /host-parser-bin/kat_xcsp_b85de3f1_dirty_memoryguard_20260521 /bench/competition/2022-2025/COP22to25/AircraftAssemblyLine-1-178-50-1_c23.xml.lzma --encoder order-ge --order-ge-eq-ne direct-order --order-ge-table mdd-tl --memory-guard-gib 64 --memory-guard-fallback extprop --cop-pipeline guarded-basic --cop-objective-cut direct-expr --progress --no-root-lp-bound
c 00h00m00s | solve:start
c 00h00m00s | input: constraints=1872
c 00h00m00s | stage:propagate:start
c 00h00m00s | stage:propagate:done ms=4 pruned=367283 changed_domains=149 entailed_tables=0
c 00h00m00s | memory:rss checkpoint=after_propagate bytes=4763648
c 00h00m00s | stage:normalize:start
c 00h00m00s | stage:normalize:done ms=0 high_constraints=1872
c 00h00m00s | stage:lower:start
c 00h02m26s | stage:lower:done ms=146225 lowered=1872 unsupported=0
c 00h02m26s | memory:rss checkpoint=after_lower bytes=4720754688
c 00h02m26s | stage:post_lower:start
c 00h02m56s | stage:post_lower:done ms=30397 rounds=163 tightened=233 removed_cls=5762989 removed_lits=1959862 unsat=false precise_hits=4027 precise_rounds=2 pivot_recomputes=1004 pivot_exact_attempts=362 pivot_general_attempts=685 pivot_general_rest_missing=0 pivot_general_bound_missing=0 pivot_general_no_change=621 pivot_general_tightened=64 setup_ms=21638 loop_ms=5232 pivot_ms=0 pivot_version_ms=0 pivot_exact_ms=0 pivot_general_ms=0 pivot_general_prepare_ms=0 pivot_general_rest_ms=0 pivot_general_derive_ms=0 apply_ms=1790 sat_ms=0 precise_ms=360
c 00h02m56s | memory:rss checkpoint=after_post_lower bytes=19226923008
c 00h02m58s | stage:lowered-shape int_vars=3435309 bool_vars=8198440 linear_atoms=8787021 table_atoms=0 table_tuples=0 table_scope=0 alldiff_atoms=0 circuit_atoms=0 product_atoms=0 logical_clauses=17702259
c 00h02m58s | stage:root-lp:skip reason=disabled_by_option ms=0
c 00h02m58s | memory:rss checkpoint=before_preencode bytes=19227045888
c 00h02m58s | stage:preencode(order-ge):start
c 00h03m38s | stage:preencode(order-ge):done ms=39811 int_vars=4084523
c 00h03m38s | memory:rss checkpoint=after_preencode bytes=21286404096
c 00h03m38s | memory:guard limit_bytes=68719476736 rss_bytes=21286404096 reserve_bytes=10737418240 available_bytes=36695654400 fallback=extprop
c 00h03m38s | memory:rss checkpoint=before_encode bytes=21286404096
c 00h03m38s | stage:encode(order-ge):start
c 00h03m42s | memory:rss checkpoint=encode_clause_sample stage=order-ge clauses=1000000 bytes=24750067712 interval_clauses=1000000
c 00h03m44s | memory:rss checkpoint=encode_clause_sample stage=order-ge clauses=2000000 bytes=24750067712 interval_clauses=1000000
c 00h03m44s | memory:rss checkpoint=encode_clause_sample stage=order-ge clauses=3000000 bytes=24750067712 interval_clauses=1000000
c 00h03m45s | memory:rss checkpoint=encode_clause_sample stage=order-ge clauses=4000000 bytes=24750067712 interval_clauses=1000000
c 00h03m45s | memory:rss checkpoint=encode_clause_sample stage=order-ge clauses=5000000 bytes=24789917696 interval_clauses=1000000
c 00h03m45s | memory:rss checkpoint=encode_clause_sample stage=order-ge clauses=6000000 bytes=24798306304 interval_clauses=1000000
c 00h03m46s | memory:rss checkpoint=encode_clause_sample stage=order-ge clauses=7000000 bytes=24806694912 interval_clauses=1000000
c 00h03m48s | memory:rss checkpoint=encode_clause_sample stage=order-ge clauses=8000000 bytes=28012023808 interval_clauses=1000000
c 00h03m49s | memory:rss checkpoint=encode_clause_sample stage=order-ge clauses=9000000 bytes=28020412416 interval_clauses=1000000
c 00h03m50s | memory:rss checkpoint=encode_clause_sample stage=order-ge clauses=10000000 bytes=28026822656 interval_clauses=1000000
c 00h03m51s | memory:rss checkpoint=encode_clause_sample stage=order-ge clauses=11000000 bytes=28035211264 interval_clauses=1000000
c 00h03m51s | memory:rss checkpoint=encode_clause_sample stage=order-ge clauses=12000000 bytes=28043599872 interval_clauses=1000000
c 00h03m51s | memory:rss checkpoint=encode_clause_sample stage=order-ge clauses=13000000 bytes=28051988480 interval_clauses=1000000
c 00h03m52s | memory:rss checkpoint=encode_clause_sample stage=order-ge clauses=14000000 bytes=28060377088 interval_clauses=1000000
c 00h03m52s | memory:rss checkpoint=encode_clause_sample stage=order-ge clauses=15000000 bytes=28066668544 interval_clauses=1000000
c 00h03m53s | memory:rss checkpoint=encode_clause_sample stage=order-ge clauses=16000000 bytes=28072960000 interval_clauses=1000000
c 00h03m53s | memory:rss checkpoint=encode_clause_sample stage=order-ge clauses=17000000 bytes=28081348608 interval_clauses=1000000
c 00h03m54s | memory:rss checkpoint=encode_clause_sample stage=order-ge clauses=18000000 bytes=28087070720 interval_clauses=1000000
