c cmd: /host-parser-bin/kat_xcsp_b85de3f1_dirty_memguard64_directexpr_linkcost_20260521 /bench/competition/2022-2025/COP22to25/AircraftAssemblyLine-1-178-50-2_c23.xml.lzma --encoder order-ge --cop-objective-cut direct-expr --order-ge-table mdd-tl --order-ge-eq-ne direct-order --order-ge-direct-eq-ne-max-arity 2 --order-ge-shorten-link-cost --no-root-lp-bound --progress --memory-guard-gib 64 --memory-guard-fallback extprop
c 00h00m00s | solve:start
c 00h00m00s | input: constraints=1869
c 00h00m00s | stage:propagate:start
c 00h00m00s | stage:propagate:done ms=4 pruned=400806 changed_domains=149 entailed_tables=0
c 00h00m00s | memory:rss checkpoint=after_propagate bytes=6225920
c 00h00m00s | stage:normalize:start
c 00h00m00s | stage:normalize:done ms=0 high_constraints=1869
c 00h00m00s | stage:lower:start
c 00h02m32s | stage:lower:done ms=152681 lowered=1869 unsupported=0
c 00h02m32s | memory:rss checkpoint=after_lower bytes=4736188416
c 00h02m32s | stage:post_lower:start
c 00h03m10s | stage:post_lower:done ms=37625 rounds=215 tightened=261 removed_cls=5996933 removed_lits=2034666 unsat=false precise_hits=4119 precise_rounds=2 pivot_recomputes=877 pivot_exact_attempts=343 pivot_general_attempts=542 pivot_general_rest_missing=0 pivot_general_bound_missing=0 pivot_general_no_change=499 pivot_general_tightened=43 setup_ms=23804 loop_ms=6454 pivot_ms=0 pivot_version_ms=0 pivot_exact_ms=0 pivot_general_ms=0 pivot_general_prepare_ms=0 pivot_general_rest_ms=0 pivot_general_derive_ms=0 apply_ms=2181 sat_ms=0 precise_ms=385
c 00h03m10s | memory:rss checkpoint=after_post_lower bytes=19234848768
c 00h03m11s | stage:lowered-shape int_vars=3435309 bool_vars=8241612 linear_atoms=8796297 table_atoms=0 table_tuples=0 table_scope=0 alldiff_atoms=0 circuit_atoms=0 product_atoms=0 logical_clauses=17563708
c 00h03m11s | stage:root-lp:skip reason=disabled_by_option ms=0
c 00h03m12s | memory:rss checkpoint=before_preencode bytes=19234967552
c 00h03m12s | stage:preencode(order-ge):start
c 00h04m08s | stage:preencode(order-ge):done ms=55712 int_vars=5113011
c 00h04m08s | memory:rss checkpoint=after_preencode bytes=21496258560
c 00h04m08s | memory:guard limit_bytes=68719476736 rss_bytes=21496258560 reserve_bytes=10737418240 available_bytes=36485799936 fallback=extprop
c 00h04m49s | stage:encode(order-ge-early-extprop-probe):done ms=41597 estimated_total_clauses=180522589
c 00h04m49s | memory:rss checkpoint=before_encode bytes=21496475648
c 00h04m49s | stage:encode(order-ge):start
c 00h04m54s | memory:rss checkpoint=encode_clause_sample stage=order-ge clauses=1000000 bytes=24936095744 interval_clauses=1000000
c 00h04m55s | memory:rss checkpoint=encode_clause_sample stage=order-ge clauses=2000000 bytes=24936095744 interval_clauses=1000000
c 00h04m56s | memory:rss checkpoint=encode_clause_sample stage=order-ge clauses=3000000 bytes=24936095744 interval_clauses=1000000
c 00h04m57s | memory:rss checkpoint=encode_clause_sample stage=order-ge clauses=4000000 bytes=24936095744 interval_clauses=1000000
c 00h04m57s | memory:rss checkpoint=encode_clause_sample stage=order-ge clauses=5000000 bytes=24975945728 interval_clauses=1000000
c 00h04m58s | memory:rss checkpoint=encode_clause_sample stage=order-ge clauses=6000000 bytes=24984334336 interval_clauses=1000000
c 00h04m58s | memory:rss checkpoint=encode_clause_sample stage=order-ge clauses=7000000 bytes=24992722944 interval_clauses=1000000
c 00h05m01s | memory:rss checkpoint=encode_clause_sample stage=order-ge clauses=8000000 bytes=28183281664 interval_clauses=1000000
c 00h05m01s | memory:rss checkpoint=encode_clause_sample stage=order-ge clauses=9000000 bytes=28191674368 interval_clauses=1000000
c 00h05m01s | memory:rss checkpoint=encode_clause_sample stage=order-ge clauses=10000000 bytes=28197965824 interval_clauses=1000000
c 00h05m02s | memory:rss checkpoint=encode_clause_sample stage=order-ge clauses=11000000 bytes=28206354432 interval_clauses=1000000
c 00h05m02s | memory:rss checkpoint=encode_clause_sample stage=order-ge clauses=12000000 bytes=28214743040 interval_clauses=1000000
c 00h05m03s | memory:rss checkpoint=encode_clause_sample stage=order-ge clauses=13000000 bytes=28223131648 interval_clauses=1000000
c 00h05m05s | memory:rss checkpoint=encode_clause_sample stage=order-ge clauses=14000000 bytes=28231532544 interval_clauses=1000000
c 00h05m06s | memory:rss checkpoint=encode_clause_sample stage=order-ge clauses=15000000 bytes=28237824000 interval_clauses=1000000
c 00h05m07s | memory:rss checkpoint=encode_clause_sample stage=order-ge clauses=16000000 bytes=28246212608 interval_clauses=1000000
c 00h05m07s | memory:rss checkpoint=encode_clause_sample stage=order-ge clauses=17000000 bytes=28254953472 interval_clauses=1000000
c 00h05m08s | memory:rss checkpoint=encode_clause_sample stage=order-ge clauses=18000000 bytes=28261244928 interval_clauses=1000000
c 00h05m08s | memory:rss checkpoint=encode_clause_sample stage=order-ge clauses=19000000 bytes=28269633536 interval_clauses=1000000
c 00h05m08s | memory:guard projection=early-extprop stage=order-ge clauses=19000000 total_clauses=180522589 progress_milli=105 start_rss_bytes=21496569856 rss_bytes=28269633536 rss_growth_bytes=6773063680 projected_rss_bytes=86001938236 threshold_bytes=57982058496 fallback_headroom_bytes=21474836480
c 00h05m17s | fallback:encoding order-ge->extprop reason=encode_rss_projection_exceeded clauses=19000000 rss_bytes=28269633536 threshold_bytes=57982058496
c 00h05m26s | memory:rss checkpoint=before_preencode bytes=19299151872
c 00h05m26s | stage:preencode(order-ge):start
c 00h06m19s | stage:preencode(order-ge):done ms=52948 int_vars=5113011
c 00h06m19s | memory:rss checkpoint=after_preencode bytes=21496852480
c 00h06m19s | memory:guard limit_bytes=68719476736 rss_bytes=21496852480 reserve_bytes=10737418240 available_bytes=36485206016 fallback=none
c 00h06m19s | memory:rss checkpoint=before_encode bytes=21496852480
c 00h06m19s | stage:encode(order-ge):start
c 00h06m23s | memory:rss checkpoint=encode_clause_sample stage=order-ge clauses=1000000 bytes=24936316928 interval_clauses=1000000
c 00h06m26s | memory:rss checkpoint=encode_clause_sample stage=order-ge clauses=2000000 bytes=24940511232 interval_clauses=1000000
c 00h06m26s | memory:rss checkpoint=encode_clause_sample stage=order-ge clauses=3000000 bytes=24940511232 interval_clauses=1000000
c 00h06m27s | memory:rss checkpoint=encode_clause_sample stage=order-ge clauses=4000000 bytes=24940511232 interval_clauses=1000000
c 00h06m27s | memory:rss checkpoint=encode_clause_sample stage=order-ge clauses=5000000 bytes=24980361216 interval_clauses=1000000
c 00h06m28s | memory:rss checkpoint=encode_clause_sample stage=order-ge clauses=6000000 bytes=24988749824 interval_clauses=1000000
c 00h06m28s | memory:rss checkpoint=encode_clause_sample stage=order-ge clauses=7000000 bytes=24997138432 interval_clauses=1000000
c 00h06m31s | memory:rss checkpoint=encode_clause_sample stage=order-ge clauses=8000000 bytes=28187697152 interval_clauses=1000000
c 00h06m32s | memory:rss checkpoint=encode_clause_sample stage=order-ge clauses=9000000 bytes=28196089856 interval_clauses=1000000
c 00h06m32s | memory:rss checkpoint=encode_clause_sample stage=order-ge clauses=10000000 bytes=28202381312 interval_clauses=1000000
c 00h06m33s | memory:rss checkpoint=encode_clause_sample stage=order-ge clauses=11000000 bytes=28210769920 interval_clauses=1000000
c 00h06m33s | memory:rss checkpoint=encode_clause_sample stage=order-ge clauses=12000000 bytes=28219158528 interval_clauses=1000000
c 00h06m34s | memory:rss checkpoint=encode_clause_sample stage=order-ge clauses=13000000 bytes=28227547136 interval_clauses=1000000
c 00h06m36s | memory:rss checkpoint=encode_clause_sample stage=order-ge clauses=14000000 bytes=28235952128 interval_clauses=1000000
c 00h06m37s | memory:rss checkpoint=encode_clause_sample stage=order-ge clauses=15000000 bytes=28242243584 interval_clauses=1000000
c 00h06m37s | memory:rss checkpoint=encode_clause_sample stage=order-ge clauses=16000000 bytes=28250632192 interval_clauses=1000000
c 00h06m38s | memory:rss checkpoint=encode_clause_sample stage=order-ge clauses=17000000 bytes=28256813056 interval_clauses=1000000
c 00h06m38s | memory:rss checkpoint=encode_clause_sample stage=order-ge clauses=18000000 bytes=28263567360 interval_clauses=1000000
c 00h06m39s | memory:rss checkpoint=encode_clause_sample stage=order-ge clauses=19000000 bytes=28269858816 interval_clauses=1000000
c 00h06m39s | memory:rss checkpoint=encode_clause_sample stage=order-ge clauses=20000000 bytes=28276150272 interval_clauses=1000000
c 00h06m39s | memory:rss checkpoint=encode_clause_sample stage=order-ge clauses=21000000 bytes=28387303424 interval_clauses=1000000
c 00h06m40s | memory:rss checkpoint=encode_clause_sample stage=order-ge clauses=22000000 bytes=28395692032 interval_clauses=1000000
c 00h06m40s | memory:rss checkpoint=encode_clause_sample stage=order-ge clauses=23000000 bytes=28401983488 interval_clauses=1000000
c 00h06m41s | memory:rss checkpoint=encode_clause_sample stage=order-ge clauses=24000000 bytes=28408274944 interval_clauses=1000000
c 00h06m41s | memory:rss checkpoint=encode_clause_sample stage=order-ge clauses=25000000 bytes=28416663552 interval_clauses=1000000
c 00h06m42s | memory:rss checkpoint=encode_clause_sample stage=order-ge clauses=26000000 bytes=28422955008 interval_clauses=1000000
c 00h06m42s | memory:rss checkpoint=encode_clause_sample stage=order-ge clauses=27000000 bytes=28536201216 interval_clauses=1000000
c 00h06m43s | memory:rss checkpoint=encode_clause_sample stage=order-ge clauses=28000000 bytes=28542492672 interval_clauses=1000000
c 00h06m43s | memory:rss checkpoint=encode_clause_sample stage=order-ge clauses=29000000 bytes=28548784128 interval_clauses=1000000
c 00h06m44s | memory:rss checkpoint=encode_clause_sample stage=order-ge clauses=30000000 bytes=28555075584 interval_clauses=1000000
c 00h06m44s | memory:rss checkpoint=encode_clause_sample stage=order-ge clauses=31000000 bytes=28561367040 interval_clauses=1000000
c 00h06m45s | memory:rss checkpoint=encode_clause_sample stage=order-ge clauses=32000000 bytes=28567658496 interval_clauses=1000000
c 00h06m45s | memory:rss checkpoint=encode_clause_sample stage=order-ge clauses=33000000 bytes=28573949952 interval_clauses=1000000
c 00h06m46s | memory:rss checkpoint=encode_clause_sample stage=order-ge clauses=34000000 bytes=28582338560 interval_clauses=1000000
c 00h06m46s | memory:rss checkpoint=encode_clause_sample stage=order-ge clauses=35000000 bytes=28588630016 interval_clauses=1000000
c 00h06m47s | memory:rss checkpoint=encode_clause_sample stage=order-ge clauses=36000000 bytes=28597018624 interval_clauses=1000000
c 00h06m48s | memory:rss checkpoint=encode_clause_sample stage=order-ge clauses=37000000 bytes=28602294272 interval_clauses=1000000
c 00h06m48s | memory:rss checkpoint=encode_clause_sample stage=order-ge clauses=38000000 bytes=28610682880 interval_clauses=1000000
